state,district,pincode,bio_age_5_17,bio_age_17_
Andaman And Nicobar Islands,Andamans,744101,177,1147
Andaman And Nicobar Islands,Andamans,744102,0,1
Andaman And Nicobar Islands,Andamans,744103,63,152
Andaman And Nicobar Islands,Andamans,744105,43,157
Andaman And Nicobar Islands,Andamans,744106,37,125
Andaman And Nicobar Islands,Andamans,744107,6,33
Andaman And Nicobar Islands,Andamans,744112,15,24
Andaman And Nicobar Islands,Andamans,744202,0,3
Andaman And Nicobar Islands,Andamans,744206,2,24
Andaman And Nicobar Islands,Andamans,744207,0,4
Andaman And Nicobar Islands,Andamans,744209,0,1
Andaman And Nicobar Islands,Andamans,744211,0,1
Andaman And Nicobar Islands,Nicobar,744301,330,402
Andaman And Nicobar Islands,Nicobar,744302,196,108
Andaman And Nicobar Islands,Nicobar,744303,386,251
Andaman And Nicobar Islands,Nicobar,744304,80,58
Andaman And Nicobar Islands,Nicobars,744301,1,1
Andaman And Nicobar Islands,North And Middle Andaman,744201,500,361
Andaman And Nicobar Islands,North And Middle Andaman,744202,1452,1020
Andaman And Nicobar Islands,North And Middle Andaman,744203,11,9
Andaman And Nicobar Islands,North And Middle Andaman,744204,606,479
Andaman And Nicobar Islands,North And Middle Andaman,744205,813,449
Andaman And Nicobar Islands,North And Middle Andaman,744209,243,154
Andaman And Nicobar Islands,North And Middle Andaman,744210,155,131
Andaman And Nicobar Islands,South Andaman,744101,1038,546
Andaman And Nicobar Islands,South Andaman,744102,353,233
Andaman And Nicobar Islands,South Andaman,744103,1310,751
Andaman And Nicobar Islands,South Andaman,744104,55,38
Andaman And Nicobar Islands,South Andaman,744105,1435,876
Andaman And Nicobar Islands,South Andaman,744106,357,228
Andaman And Nicobar Islands,South Andaman,744107,524,242
Andaman And Nicobar Islands,South Andaman,744112,96,60
Andaman And Nicobar Islands,South Andaman,744206,475,328
Andaman And Nicobar Islands,South Andaman,744207,854,383
Andaman And Nicobar Islands,South Andaman,744210,0,2
Andaman And Nicobar Islands,South Andaman,744211,193,110
Andhra Pradesh,Adilabad,504001,813,2817
Andhra Pradesh,Adilabad,504101,142,231
Andhra Pradesh,Adilabad,504102,220,461
Andhra Pradesh,Adilabad,504103,661,1538
Andhra Pradesh,Adilabad,504104,78,189
Andhra Pradesh,Adilabad,504105,106,224
Andhra Pradesh,Adilabad,504106,429,1063
Andhra Pradesh,Adilabad,504109,218,486
Andhra Pradesh,Adilabad,504110,11,40
Andhra Pradesh,Adilabad,504201,361,928
Andhra Pradesh,Adilabad,504202,1,3
Andhra Pradesh,Adilabad,504203,386,605
Andhra Pradesh,Adilabad,504204,222,754
Andhra Pradesh,Adilabad,504205,230,736
Andhra Pradesh,Adilabad,504206,182,534
Andhra Pradesh,Adilabad,504207,224,591
Andhra Pradesh,Adilabad,504208,465,947
Andhra Pradesh,Adilabad,504209,85,153
Andhra Pradesh,Adilabad,504214,205,1021
Andhra Pradesh,Adilabad,504215,292,810
Andhra Pradesh,Adilabad,504216,160,358
Andhra Pradesh,Adilabad,504218,29,49
Andhra Pradesh,Adilabad,504219,277,1780
Andhra Pradesh,Adilabad,504220,8,34
Andhra Pradesh,Adilabad,504231,247,702
Andhra Pradesh,Adilabad,504251,401,1867
Andhra Pradesh,Adilabad,504272,138,505
Andhra Pradesh,Adilabad,504273,386,1437
Andhra Pradesh,Adilabad,504292,173,553
Andhra Pradesh,Adilabad,504293,407,920
Andhra Pradesh,Adilabad,504294,343,1665
Andhra Pradesh,Adilabad,504295,195,734
Andhra Pradesh,Adilabad,504296,559,2093
Andhra Pradesh,Adilabad,504299,1109,4715
Andhra Pradesh,Adilabad,504301,74,220
Andhra Pradesh,Adilabad,504302,139,290
Andhra Pradesh,Adilabad,504303,56,107
Andhra Pradesh,Adilabad,504304,64,191
Andhra Pradesh,Adilabad,504306,82,214
Andhra Pradesh,Adilabad,504307,219,698
Andhra Pradesh,Adilabad,504308,117,457
Andhra Pradesh,Adilabad,504309,193,950
Andhra Pradesh,Adilabad,504310,93,119
Andhra Pradesh,Adilabad,504311,546,2511
Andhra Pradesh,Adilabad,504312,273,889
Andhra Pradesh,Adilabad,504313,428,944
Andhra Pradesh,Adilabad,504323,1,5
Andhra Pradesh,Adilabad,504346,160,692
Andhra Pradesh,Alluri Sitharama Raju,507111,170,141
Andhra Pradesh,Alluri Sitharama Raju,507121,116,124
Andhra Pradesh,Alluri Sitharama Raju,507126,20,8
Andhra Pradesh,Alluri Sitharama Raju,507129,414,197
Andhra Pradesh,Alluri Sitharama Raju,507134,217,66
Andhra Pradesh,Alluri Sitharama Raju,507135,146,191
Andhra Pradesh,Alluri Sitharama Raju,531024,438,883
Andhra Pradesh,Alluri Sitharama Raju,531027,2,3
